ID,Location,Output,Model,COP,FlowT,OutsideT,Days,Heat Demand,Floor Area,Heat Demand/Floor Area
343,"Chorley, Lancashire",5 kW,Vaillant Arotherm+,4.57,33.2,14.7,89,13056,90,145.07
132,North Yorkshire,11.2 kW,Mitsubishi Ecodan,3.93,36.4,8.4,235,26733,183,146.08
197,Caversham,14 kW,Samsung HTQ ,3.50,27.3,10.8,346,22041,150,146.94
232,Potters Bar,6 kW,Viessmann Vitocal 150A,3.83,32.5,10.2,146,14863,100,148.63
259,Northampton,9 kW,Daikin Altherma 3,2.43,40.7,18.0,96,18000,120,150.00
297,Loughborough,12 kW,Vaillant Arotherm+,3.18,48.1,16.4,57,25248,166,152.10
286,Leicester,5 kW,Vaillant Arotherm+,4.42,34.1,0.6,325,15264,100,152.64
118,"Medstead, Hampshire",16 kW,Midea ,3.44,35.6,7.3,255,21906,143,153.19
256,Aylesbury ,16 kW,Viessmann Vitocal 150A,4.82,30.0,11.9,134,29556,192,153.94
298,Uxbridge,6 kW,NIBE 2050,3.22,40.6,17.2,57,12500,80,156.25
8,"Fife, Scotland",7 kW,Vaillant Arotherm+,4.07,33.1,5.1,364,16057,100,160.57
240,Wrexham,7 kW,Vaillant Arotherm+,2.57,48.4,12.6,113,16479,99,166.45
57,"Dinorwic, Gwynedd",13 kW,Grant Aerona3,4.03,34.7,8.1,319,28000,168,166.67
262,"Sawtry, Cambridgeshire",7 kW,Vaillant Arotherm+,3.63,27.4,11.1,116,19572,116,168.72
209,Aberdeenshire,10 kW,Vaillant Arotherm+,4.41,33.7,7.9,182,26697,153,174.49
268,Liphook,5 kW,Vaillant Arotherm+,4.68,31.5,12.6,6,9000,50,180.00
173,NE Derbyshire,12 kW,Samsung Gen 6,3.23,36.0,7.0,182,21087,110,191.70
