ID,Location,Output,Model,COP,FlowT,OutsideT,Days,Heat Demand,Floor Area,Heat Demand/Floor Area
291,Gainsborough,14 kW,Ideal HP290 ,2.69,37.4,6.1,74,22000,260,84.62
304,Poulton,7 kW,Vaillant Arotherm+,3.71,44.8,17.4,48,11000,130,84.62
80,"Whitchurch, Hampshire",6 kW,Daikin Altherma 3,3.58,30.6,7.7,316,8181,96,85.22
25,"Sofia, Bulgaria",8 kW,Atlantic Alfea Extensa,3.17,37.7,4.7,264,12800,150,85.33
40,Derby,11.2 kW,Mitsubishi Ecodan,2.69,41.5,9.6,243,12128,142,85.41
45,Milton Keynes,16 kW,Samsung Gen 6,3.41,36.2,7.4,365,18000,210,85.71
284,Woodley,7 kW,Vaillant Arotherm+,4.10,41.5,19.2,66,15000,175,85.71
97,"Llanfrothen, Gwynedd",10 kW,Grant Aerona3,3.55,35.1,7.1,298,8000,92,86.96
302,Dalry,8.5 kW,Mitsubishi Ecodan ,3.38,28.8,1.8,63,15961,183,87.22
43,Edinburgh,7 kW,Vaillant Arotherm+,3.37,38.0,6.5,364,17621,200,88.11
77,"Woodham, Surrey",5 kW,Vaillant Arotherm+,3.73,37.6,8.0,364,12637,142,88.99
308,"Hitchin, Hertfordshire",5 kW,Vaillant Arotherm+,4.63,33.1,12.3,131,15400,170,90.59
27,Basingstoke,11 kW,Daikin Altherma 3,3.69,32.7,8.3,331,21000,230,91.30
289,North Newbald,8 kW,Ideal Logic Air,3.27,40.7,4.5,134,16500,180,91.67
9,Sheffield,5 kW,Vaillant Arotherm+,4.05,32.5,6.9,365,9000,98,91.84
139,Frimley,5 kW,Vaillant Arotherm+,4.79,28.1,8.6,222,7000,76,92.11
120,Hertfordshire,9 kW,Daikin Altherma 3,3.05,35.7,6.7,189,12486,135,92.49
4,"Llanberis, Gwynedd",5 kW,Samsung Gen 6,4.41,31.9,7.7,363,7000,75,93.33
329,Rednal,16 kW,Viessmann Vitocal 150A,4.71,30.9,14.3,26,28397,304,93.41
10,North Yorkshire,6 kW,Grant Aerona3,4.40,30.5,7.7,361,15500,165,93.94
160,Bristol,5 kW,Vaillant Arotherm+,3.81,32.1,9.0,211,9002,95,94.76
69,"Wrexham, North Wales",17 kW,Grant Aerona3,3.33,33.0,7.3,343,28713,300,95.71
127,"Berlin, Germany",10 kW,Vaillant Arotherm+,3.04,33.8,6.3,242,12000,125,96.00
140,Buckinghamshire,10 kW,Vaillant Arotherm+,4.21,35.5,7.5,284,24121,250,96.48
147,"Norfolk, United Kingdom",4 kW,Daikin Altherma 3,3.38,32.1,10.5,171,6286,65,96.71
227,Berkhamstead,5 kW,Vaillant Arotherm+,4.01,32.5,11.6,157,9757,100,97.57
153,Finchampstead,7 kW,Vaillant Arotherm+,4.87,32.2,9.8,174,15714,160,98.21
