ID,Location,Output,Model,COP,FlowT,OutsideT,Days,Heat Demand,Floor Area,Heat Demand/Floor Area
284,Woodley,7 kW,Vaillant Arotherm+,4.10,41.5,19.2,66,15000,175,85.71
40,Derby,11.2 kW,Mitsubishi Ecodan,2.69,41.5,9.6,243,12128,142,85.41
25,"Sofia, Bulgaria",8 kW,Atlantic Alfea Extensa,3.17,37.7,4.7,264,12800,150,85.33
80,"Whitchurch, Hampshire",6 kW,Daikin Altherma 3,3.58,30.6,7.7,316,8181,96,85.22
291,Gainsborough,14 kW,Ideal HP290 ,2.69,37.4,6.1,74,22000,260,84.62
304,Poulton,7 kW,Vaillant Arotherm+,3.71,44.8,17.4,48,11000,130,84.62
76,Bristol UK,7 kW,Daikin Altherma 3,2.94,32.6,8.2,313,6305,75,84.07
281,Middlesex,12 kW,Vaillant Arotherm+,3.34,41.1,16.1,116,20221,245,82.53
149,Harpenden ,8 kW,Viessmann Vitocal 151A,4.61,28.5,8.1,222,14000,170,82.35
39,"Fleet, Hampshire",12.12 kW,Daikin Altherma 3 H HT,3.35,39.2,7.4,335,13083,160,81.77
72,Ipswich,8 kW,Daikin Altherma 3,3.95,33.5,7.9,333,9137,113,80.86
22,Cambridge,8 kW,Samsung HTQ ,3.11,37.0,7.3,362,10897,135,80.72
138,Derby,8.5 kW,Mitsubishi Ecodan,4.44,31.6,8.1,233,13550,168,80.65
33,Telford,5 kW,Vaillant Arotherm+,4.23,27.6,8.0,364,11236,140,80.26
250,Nottingham,5 kW,Samsung Gen 7,2.71,51.5,19.2,123,8163,103,79.25
114,Cambridgeshire,13 kW,Grant Aerona 3,4.50,33.7,8.4,240,15000,190,78.95
252,"Silkeborg, Denmark",7.6 kW,NIBE S2125,3.60,39.0,17.0,119,15400,200,77.00
161,"Issum, Germany",14 kW,Midea Nam V10,4.46,32.9,10.6,211,23000,300,76.67
41,St Albans,5 kW,Vaillant Arotherm+,3.70,36.5,7.1,355,9143,120,76.19
5,"Camberley, Surrey",5 kW,Vaillant Arotherm+,4.37,28.5,5.9,260,6000,80,75.00
46,"Mytchett, Surrey",7 kW,Vaillant Arotherm+,4.62,30.7,8.1,354,10500,140,75.00
20,Nottingham,12 kW,Midea,4.18,35.2,13.9,22,11332,153,74.07
158,Manchester,7 kW,Vaillant Arotherm+,4.03,30.6,8.3,219,13881,189,73.44
278,Gwynedd,10 kW,Vaillant Arotherm+,4.79,31.6,10.2,158,13400,184,72.83
202,"Robertsbridge, East Sussex",5 kW,Vaillant Arotherm+,4.26,29.8,9.3,158,12040,166,72.53
162,West Oxfordshire,6 kW,Daikin Altherma 3,3.51,34.4,7.9,250,9436,131,72.03
23,Swindon,9 kW,Daikin Altherma 3,2.49,37.2,12.7,140,10000,140,71.43
231,"Epsom, Surrey",5 kW,Vaillant Arotherm+,4.11,36.4,12.6,138,10037,141,71.18
75,"Beddgelert, Gwynedd",5 kW,Vaillant Arotherm+,4.36,32.3,7.7,316,8500,120,70.83
81,Haywards Heath,3.5 kW,Vaillant Arotherm+ ,3.75,34.0,7.2,314,7967,115,69.28
59,Oxford,5 kW,Vaillant Arotherm+,3.72,34.3,6.3,328,7500,109,68.81
309,"Ware, Hertfordshire",8 kW,Nibe S1156,4.63,26.1,16.4,43,16701,244,68.45
272,Shetland,8 kW,Vaillant Arotherm+,3.58,36.2,5.1,253,18877,278,67.90
322,"Heathfield, East-Sussex",4 kW,Viessmann Vitocal 151A,3.06,54.5,19.0,16,8713,128.86,67.62
71,"Market Drayton, Shropshire",8 kW,Samsung Gen 6,3.86,32.1,6.5,326,12000,180,66.67
279,"London, UK",16 kW,Daikin Altherma 3,1.94,42.0,18.7,78,11940,180,66.33
174,"Ealing, London",5 kW,Vaillant Arotherm+,4.44,31.6,10.2,197,11257,170,66.22
193,"Lucens, Switzerland",12.7 kW,Daikin Altherma 3 H HT,3.75,29.8,7.2,194,14500,240,60.42
3,Manchester,6 kW,NIBE F2040,3.08,33.6,8.3,362,7200,120,60.00
258,Hook,7 kW,Vaillant Arotherm+,3.33,38.8,14.0,107,14470,245,59.06
51,"Rushden, Northamptonshire",7 kW,Vaillant Arotherm+,4.15,29.8,7.0,353,11000,190,57.89
124,North London,7 kW,Vaillant Arotherm+,4.21,34.8,9.1,253,11521,200,57.60
211,"Beauly, Invernessshire",7 kW,Vaillant Arotherm+,3.06,33.7,8.2,184,6868,127,54.08
116,"Gallt-y-foel, Gwynedd",5 kW,Samsung Gen 6,4.63,29.3,7.7,229,7000,133,52.63
334,Cornwall,7 kW,Vaillant Arotherm+,4.31,34.7,13.8,5,17918,350,51.19
63,"Farnham, Surrey",11 kW,Daikin Altherma,3.14,36.8,6.3,351,7520,150,50.13
314,"Derrygonnelly, NI",8 kW,Viessmann Vitocal 150A,3.33,41.7,14.2,41,13577,300,45.26
123,Brighton & Hove,5 kW,Vaillant Arotherm+,3.34,38.5,7.6,240,3425,78,43.91
55,"Brynrefail, Gwynedd",12 kW,NIBE F2040,2.90,21.5,11.2,195,6000,141,42.55
113,Bournemouth,8 kW, Daikin Altherma 3,3.95,34.7,9.7,261,5000,120,41.67
16,Gloucestershire,5 kW,Mitsubishi Ecodan,4.25,34.6,6.7,353,7200,180,40.00
212,"Edwinstowe, Nottinghamshire",6 kW,Mitsubishi Ecodan,3.49,38.2,10.7,167,4368,117,37.33
283,Pembrokeshire ,3.5 kW,Vaillant Arotherm+,3.62,44.8,15.8,68,4900,136,36.03
131,Swindon,9 kW,Daikin Altherma 3,2.56,35.3,8.0,52,5403,170,31.78
87, (Laubeck) East riding of Yorkshire,9 kW,Daikin Altherma 3,3.08,33.6,7.5,342,4625,150,30.83
53,Stroud,5 kW,Vaillant Arotherm+,4.55,28.0,6.7,335,6354,215,29.55
338,"Buntingford, Hertfordshire",4 kW,Daikin Altherma 3,4.10,41.9,18.4,12,2916,100,29.16
26,Stratford-upon-Avon,7 kW,Vaillant Arotherm+,3.96,34.3,7.7,361,7300,251,29.08
337,"Elgin, Scotland ",6 kW,Maxa i32V5 ,3.63,34.1,12.0,4,6000,236,25.42
64,Newport,7 kW,Vaillant Arotherm+,3.80,35.0,6.2,343,5000,230,21.74
143,"Devon, Mid",5 kW,Vaillant Arotherm+,4.13,25.3,8.0,234,4500,225,20.00
215,"Faaborg, Denmark ",12 kW,Sprsun EVI,3.71,34.1,7.4,179,4000,200,20.00
11,Derby,8 kW,NIBE F1145,3.48,33.3,5.3,362,4542,315,14.42
228,Birmingham,4 kW,Daikin Altherma 3,2.30,38.8,8.5,151,1248,115,10.85
167,"Cadross, Dumbarton",10 kW,Nibe S2050 ,4.01,37.1,7.3,269,287,123,2.33
82,Varese - Italy,8.5 kW,Mitsubishi Ecodan,2.74,32.0,6.1,363,59,120,0.49
319,"Clunbury, Shropshire",16 kW,Viessmann Vitocal 150A,5.12,33.0,14.1,38,24,180,0.13
328,Wirral ,13 kW,Viessmann Vitocal 150A,2.28,50.7,16.4,54,25,202,0.12
225,Wirral ,5 kW,Ideal Logic Air,4.22,33.0,1.2,157,9,120,0.07
282,Newcastle,5 kW,Vaillant Arotherm+,4.18,30.1,9.5,164,12,190,0.06
