ID,Location,Output,Model,COP,FlowT,OutsideT,Days,installer_name,installer_url,installer_logo,heatgeek,ultimaterenewables,heatingacademy,betateach,youtube,url,share,hp_type,refrigerant,dhw_method,cylinder_volume,dhw_coil_hex_area,new_radiators,old_radiators,fan_coil_radiators,UFH,hydraulic_separation,flow_temp,design_temp,flow_temp_typical,wc_curve,freeze,zone_number,space_heat_control_type,dhw_control_type,dhw_target_temperature,legionella_frequency,legionella_target_temperature,property,floor_area,heat_demand,water_heat_demand,EPC_spaceheat_demand,EPC_waterheat_demand,heat_loss,age,insulation,kwh_m2,electricity_tariff,electricity_tariff_type,electricity_tariff_unit_rate_all,solar_pv_generation,solar_pv_self_consumption,solar_pv_divert,battery_storage_capacity,mid_metering,electric_meter,heat_meter,metering_inc_boost,metering_inc_central_heating_pumps,metering_inc_brine_pumps,metering_inc_controls,indoor_temperature,notes,timestamp,combined_elec_kwh,combined_heat_kwh,combined_cop,combined_data_length,combined_elec_mean,combined_heat_mean,combined_flowT_mean,combined_returnT_mean,combined_outsideT_mean,combined_roomT_mean,combined_prc_carnot,combined_cooling_kwh,running_elec_kwh,running_heat_kwh,running_cop,running_data_length,running_elec_mean,running_heat_mean,running_flowT_mean,running_returnT_mean,running_outsideT_mean,running_roomT_mean,running_prc_carnot,space_elec_kwh,space_heat_kwh,space_cop,space_data_length,space_elec_mean,space_heat_mean,space_flowT_mean,space_returnT_mean,space_outsideT_mean,space_roomT_mean,space_prc_carnot,water_elec_kwh,water_heat_kwh,water_cop,water_data_length,water_elec_mean,water_heat_mean,water_flowT_mean,water_returnT_mean,water_outsideT_mean,water_roomT_mean,water_prc_carnot,from_energy_feeds_elec_kwh,from_energy_feeds_heat_kwh,from_energy_feeds_cop,quality_elec,quality_heat,quality_flowT,quality_returnT,quality_outsideT,quality_roomT
73,Ackworth,8.5 kW,Mitsubishi Ecodan,3.90,33.9,6.6,359,Boost Heating and plumbing,https://www.boostedhp.co.uk/,boostedhp.png,1,0,0,0,N/A,https://emoncms.org/app/view?name=MyHeatpump&readkey=a6c35ba6ce04477c03c81a02a3de9d38,1,Air Source,R32,Cylinder with plate heat exchanger,210,3,1,0,0,0,None,55,0,34,0,Anti-freeze valves,1,Manual flow temperature control,Daily scheduled heat up of tank,48,Fornightly,55,Detached,134,0,0,0,0,0,1940 to 1982,"Cavity wall, plus some loft insulation",0,Octopus,On peak & Off peak,9,4500,70,0,21,1,SDM220 Modbus/MBUS Single Phase (class 1),Kamstrup heat meter (class 2),0,1,0,1,1,,False,2591.09,10102.4,3.8988996908636904,31002600,300.872,1173.07,22.3776,19.9018,10.6451,0,30.191400000000005,149.484,2366.29,10002.8,4.227207992257923,6612190,1288.32,5446.03,33.8797,27.904,6.56322,0,49.7921,0,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2596.47,10426,4.0154517479501015,98.3088,98.3247,98.3247,98.3247,97.7626,0
74,"Reigate, Surrey",11.2 kW,Mitsubishi Ecodan,1.87,38.4,16.8,106,VitoEnergy (repaired),https://www.vitoenergy.co.uk,vitoenergy.png,0,0,0,0,N/A,https://emoncms.org/app/view?name=ASHP&readkey=e27db14ae1b516ab45ab87475d9b9789,1,Air Source,R32,Cylinder with plate heat exchanger,300,0,0,0,0,1,Buffer,0,0,0,0,Glycol/water mixture,16,"Pure weather compensation, no room influence",Automatic top up of tank if temperature drops by 6-10C,45,Monthly,60,Bungalow,362,0,0,0,0,0,1900 to 1939,"Fully insulated walls, floors and loft",0,Octopus Cosy,On peak & Off peak,0,0,0,0,0,1,SDM120 Modbus/MBUS Single Phase (class 1),Sontex heat meter (class 2),1,1,0,1,1,PUZ-WM112VAA (2021),False,396.504,743.266,1.8745485543651512,9198610,155.177,290.885,30.2207,29.1536,17.9359,22.3809,74.9266,272.454,340.486,724.894,2.1289979617370465,755580,1622.26,3453.8,38.3623,36.1372,16.821,22.873,30.218500000000002,73.9977,-159.458,-2.154904814609103,193730,1375.06,-2963.15,21.2591,22.715600000000002,20.824,24.0301,3.49348,266.487,884.353,3.318559629550409,561850,1707.5,5666.4,44.2594,40.766,15.4706,22.2795,40.3776,396.872,998,2.5146646777802415,98.6164,98.5793,98.5882,98.5799,98.1686,94.0478
75,"Beddgelert, Gwynedd",5 kW,Vaillant Arotherm+,4.36,32.3,7.7,316,Glyn Hudson (self-install),https://openenergymonitor.org,openenergymonitor.png,0,0,0,0,https://youtu.be/bHsp7fDw_bg?si=5rHo4uriJFe7iVu5,https://emoncms.org/app/view?name=MyHeatpump&readkey=871ad5efb8f20f698f12d751aea9b8a6,1,Air Source,R290,Cylinder with coil,200,3.3,1,1,0,0,None,40,-3,35,0.5,Anti-freeze valves,1,Weather compensation with a little room influence,Automatic top up of tank if temperature drops by 6-10C,45,Disabled,0,Bungalow,120,8500,1460,0,0,4.8,1940 to 1982,"Fully insulated walls, floors and loft",71,Octopus Agile,Variable half hourly,13,2200,93,0,9,1,SDM120 Modbus/MBUS Single Phase (class 1),Sontex heat meter (class 2),1,1,0,1,1,"Only 80% of the house is lived in, the other 20% is heated about 3C lower",False,2472.75,10787.7,4.3626326963906585,27278700,326.642,1424.82,28.596100000000003,26.876499999999997,10.367,21.3789,42.0924,79.601,2435.98,10750.7,4.413295675662362,14980800,585.813,2583.49,32.2951,29.7246,7.67764,21.1636,47.9233,10.8685,58.7742,5.407756360123293,83120,470.708,2545.54,29.7959,27.327600000000004,13.2157,20.6875,45.98,32.2513,134.705,4.176730860461439,118390,980.692,4096.11,42.7174,38.7456,17.7901,22.5496,42.8098,2506.68,10941.9,4.36509646225286,95.8126,96.2066,98.2137,98.2137,98.9015,99.96
76,Bristol UK,7 kW,Daikin Altherma 3,2.94,32.6,8.2,313,Octopus Energy Services,https://octopus.energy/get-a-heat-pump/,octopus.png,0,0,0,0,N/A,https://emoncms.org/app/view?name=BristolHeatPump&readkey=afc02454daacc1892d9c1cacf8ca8276,1,Air Source,R410A,Cylinder with coil,205,0,1,1,0,1,Buffer,40,-1.7,35,0,Anti-freeze valves,0,Weather compensation with significant room influence,Daily scheduled heat up of tank,48,Weekly,58,Mid-terrace,75,6305,2708,5406,2197,0,1940 to 1982,Some insulation in walls and loft,84,Octopus Go,On peak & Off peak,12.1,2700,0,0,45,0,"OpenEnergyMonitor EmonPi v1, EmonTx3 or earlier",Heat pump integration,1,1,0,1,1,"V2G means I have a part time battery, and heat the tank and UFH during the night cheap rate.  Not all rooms have radiators/ufh due to ongoing renovation. Open bypass issue on radiator loop.",False,2005.8,5888.1,2.93553694286569,27031500,267.004,786.163,27.740699999999997,24.825399999999995,13.2088,21.3668,27.2995,0.218,1781.27,5644.15,3.168610036659237,6392940,1002.65,3178.34,32.5811,29.711000000000002,8.21227,20.4246,36.3232,1190.41,3985.35,3.3478801421359026,5544230,773.298,2587.78,31.2307,28.5661,7.83618,20.2814,36.2105,590.854,1658.8,2.807461741817775,848710,2506.25,7036.18,41.4029,37.1878,10.6685,21.3603,35.5938,2048.33,5915.37,2.887898922536896,99.5232,98.0055,98.0456,98.0454,98.5161,98.0076
77,"Woodham, Surrey",5 kW,Vaillant Arotherm+,3.73,37.6,8.0,364,Lotus Energy,https://www.lotusenergy.uk/,lotusenergy.png,1,0,0,N/A,N/A,https://emoncms.org/app/view?name=MyHeatpump&readkey=0afed52afbda3e80d37b5c3fef40e0af,1,Air Source,R290,Cylinder with coil,250,0,1,1,0,0,None,55,-2,34,0.5,Anti-freeze valves,1,"Pure weather compensation, no room influence",Daily scheduled heat up of tank,45,Weekly,60,Detached,142,12637,4854,0,0,5.33,1940 to 1982,Some insulation in walls and loft,89,Octopus Go,On peak & Off peak,10.53,5000,74,1,13,1,SDM120 Modbus/MBUS Single Phase (class 1),Sontex heat meter (class 2),1,1,0,1,0,,False,3325.1,12408.8,3.7318576884905714,31462500,380.462,1419.89,32.9605,31.2223,11.5655,0,45.9942,133.545,3280.64,12346.4,3.763412017167382,14202500,831.566,3129.53,37.6037,34.5214,8.03058,0,47.9634,0,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3327.9,12545,3.7696445205685265,99.7678,99.7773,99.7773,99.7773,98.9269,0
78,Bishop's Stortford,5 kW,Vaillant Arotherm+,3.54,34.3,8.8,318,Pro-Flo,,N/A,0,0,0,0,N/A,https://emoncms.org/app/view?name=MyHeatpump&readkey=743f2c07826f1203349a88e4948fb946,1,Air Source,R290,Cylinder with coil,210,12,1,0,0,1,None,0,0,0,0,Anti-freeze valves,2,Weather compensation with a little room influence,Daily scheduled heat up of tank,50,Disabled,0,Detached,110,0,0,0,0,0,1940 to 1982,"Fully insulated walls, floors and loft",0,Octopus Agile,Variable half hourly,20,0,0,0,0,1,"OpenEnergyMonitor EmonPi v2, EmonTx4 or newer",Sontex heat meter (class 2),0,1,0,1,0,,False,1758.9,6221.03,3.5368866905452268,27445100,230.642,816.104,27.038900000000005,25.9216,12.3996,14.3965,37.7128,227.553,1687.34,6189.98,3.6684841229390637,6939830,875.274,3211.02,34.326,31.0959,8.8426,18.3387,43.1508,0,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1774.51,6492,3.6584747338701953,95.998,96.0568,96.0568,96.0568,98.7789,65.4264
79,Reading,7 kW,Vaillant Arotherm+,3.77,32.7,7.5,364,VitoEnergy,https://vitoenergy.co.uk,vitoenergy.png,1,0,0,0,N/A,https://emoncms.org/app/view?name=MyHeatpump&readkey=9063b586dac38059611c6dba25229c21,1,Air Source,R290,Cylinder with coil,300,0,1,0,0,1,None,45,-3,35,0.6,Anti-freeze valves,1,Weather compensation with simple set point control,Automatic top up of tank if temperature drops by 6-10C,50,Other,60,Semi-detached,120,12000,3000,0,0,5.8,1940 to 1982,"Fully insulated walls, floors and loft",100,,,0,0,0,0,0,1,SDM120 Modbus/MBUS Single Phase (class 1),Sontex heat meter (class 2),1,1,0,1,0,,False,4200.52,15830.2,3.7686286459771643,31429300,481.135,1812.43,28.9485,27.2063,11.3497,0,44.6893,463.183,4109.05,15547.8,3.783794307686691,13630300,1085.27,4106.45,32.7348,29.8377,7.507939999999999,0,46.9519,0,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4206.14,16303,3.876000323336836,99.6617,99.7415,99.7415,99.7415,98.8927,0
80,"Whitchurch, Hampshire",6 kW,Daikin Altherma 3,3.58,30.6,7.7,316,Octopus Energy Services,https://octopus.energy/get-a-heat-pump,octopus.png,0,0,0,0,N/A,https://emoncms.org/app/view?name=EntropyHeatPump&readkey=27f9740251fe8f9c2927d673a1cacf34,1,Air Source,R32,Cylinder with plate heat exchanger,180,3,1,0,0,0,None,45,-2.2,0,0,Anti-freeze valves,1,Weather compensation with significant room influence,Daily scheduled heat up of tank,55,Weekly,55,End-terrace,96,8181,1904,8181,1904,5.238,Pre-1900,Some insulation in walls and loft,85,Octopus GO,On peak & Off peak,8.3,3130,80,1,13,0,Other electricity meter,Heat pump integration,1,1,1,1,1,Mixergy tank scheduled tank heating.  Electricity monitoring with a Shelly EM+. Thermal power calculated from internal HP measurements using ESPAltherma,False,1950.56,6992.33,3.584780780903946,27276300,257.439,922.6979999999999,25.0168,23.1088,11.5714,20.1758,32.5051,29.947,1827.24,6906.53,3.7797607320330115,9724450,676.448,2556.8,30.5675,27.993900000000004,7.66017,20.1665,44.3433,1331.69,5465.59,4.104250989344367,8969340,534.499,2193.71,29.3064,26.881,7.41137,20.1408,52.4645,495.547,1440.94,2.9077766589243805,755110,2362.53,6869.7,45.5516,41.0727,10.6189,20.4766,38.7119,1950.73,6992.02,3.58430946363669,99.5909,99.6022,99.602,98.6734,99.5324,99.6013
81,Haywards Heath,3.5 kW,Vaillant Arotherm+ ,3.75,34.0,7.2,314,Chris Chapman - Climergy,https://climergy.co.uk/,climergy.png,1,0,0,0,N/A,https://emoncms.org/app/view?name=MyHeatpump&readkey=89af3b718cc143b2b03b51b5035b5d54,1,Air Source,R290,Cylinder with coil,200,0,0,1,0,0,None,40,-3,35,0.45,Anti-freeze valves,1,"Pure weather compensation, no room influence",Daily scheduled heat up of tank,55,Flexible,60,Semi-detached,115,7967,2920,0,0,0,2012 or newer,"Fully insulated walls, floors and loft",69,,,0,0,0,0,0,1,SDM120 Modbus/MBUS Single Phase (class 1),Sontex heat meter (class 2),1,1,0,1,0,,False,1963.3,7358.97,3.7482656751387973,27134900,260.471,976.2819999999999,27.7818,26.4496,11.1222,0,41.5374,79.249,1887.54,7244.89,3.8382709770388974,9380440,724.395,2780.43,33.9881,30.323099999999997,7.193179999999999,0,46.4285,0,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1963.93,7438,3.7873040281476427,99.702,99.7076,99.7076,99.7076,98.9286,0
82,Varese - Italy,8.5 kW,Mitsubishi Ecodan,2.74,32.0,6.1,363,,,N/A,0,0,0,0,N/A,https://emoncms.org/app/view?name=MyHeatpump&readkey=16eb3f5fb2b16485110a05f6d9c19635,1,Air Source,R32,Cylinder with coil,300,1,0,0,0,1,Buffer,35,-5,30,0,Central heat pump water circulation,2,Weather compensation with simple set point control,Automatic top up of tank if temperature drops by 6-10C,50,Fornightly,60,Semi-detached,120,59,0,0,0,0,2012 or newer,"Fully insulated walls, floors and loft",0,,On peak & Off peak,0,4447,75,0,10,1,SDM120 Modbus/MBUS Single Phase (class 1),Kamstrup heat meter (class 2),1,1,0,1,0,,False,2562.02,7024.91,2.741941905215416,31327700,294.411,807.267,27.9151,26.7978,7.6116,0,22.7015,439.564,2469.41,6813.38,2.7591125005568133,9710700,915.475,2525.89,31.9557,28.1564,6.12001,0,33.3998,2212.73,6342.61,2.866418406222178,9296640,856.854,2456.09,30.903900000000004,27.2049,6.06482,0,33.5143,256.679,470.769,1.8340768041016213,414060,2231.66,4093.05,55.5798,49.5196,7.35087,0,32.5214,2577.95,7681,2.9794992144921353,99.3401,99.3398,99.3398,99.3398,69.373,0
83,Croydon,16 kW,LG Therma V,3.52,35.7,9.1,365,Elite Renewables,https://www.eliterenewables.co.uk/,eliterenewables.png,0,0,0,0,N/A,https://emoncms.org/app/view?name=MyHeatpump&readkey=1f6016806ac66c4948f95ad5458886ff,1,Air Source,R32,Cylinder with coil,279,2.86,1,1,0,1,Buffer,50,-2.31,37,0,Glycol/water mixture,3,Weather compensation with simple set point control,Automatic top up of tank if temperature drops by 3-6C,45,Weekly,60,Detached,241,28861,7342,19627,2362,11.796,1900 to 1939,Some insulation in walls and loft,120,Octopus Agile,Variable half hourly,20,5000,50,0,19,1,SDM120 Modbus/MBUS Single Phase (class 1),Sontex heat meter (class 2),0,1,0,0,0,,False,5946.83,20957.1,3.5240792153130323,31500100,679.634,2395.12,30.994,28.7045,12.918,0,36.2249,298,5917.32,20938.9,3.5385782753003054,14111600,1509.56,5341.69,35.6701,31.8307,9.09865,0,42.1179,0,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5975.69,21254,3.5567440747428334,99.8861,99.8897,99.8897,99.8897,98.9155,0
84,Machynlleth,6 kW,Ecoforest   EcoAir 1-7,4.39,34.1,7.8,314,John Cantor,http://heatpumps.co.uk,heatpumps.png,0,0,0,https://betatalk.buzzsprout.com/509671/8878063-chatting-with-john-cantor-author-of-the-book-heat-pumps-for-the-home,N/A,https://emoncms.org/Swifttrees/app/view?name=MyEcoAir,1,Air Source,R290,Cylinder with coil,150,3,1,0,0,0,None,40,-2,33,0,Central heat pump water circulation,3,Weather compensation with significant room influence,Automatic top up of tank if temperature drops by 3-6C,50,Disabled,0,End-terrace,150,0,0,0,0,0,Pre-1900,Solid walls,0,,,0,0,0,0,0,1,SDM120 Modbus/MBUS Single Phase (class 1),Sontex heat meter (class 2),0,1,0,1,1,"This is a small heat pump supplying parts of a big house, and to below (by choice) 'normal' temperatures. We also relies on wood stoves for 'comfort'. No conclusions can be drawn from floor areas etc.  Furthermore use patterns are very variable. This ASHP is only recorded here from this autumn, so is showing a falsely high COP. It will drop considerably as winter comes on.",False,3250.5,14279.2,4.392924165512998,27116500,431.542,1895.4,29.8123,27.091200000000004,10.4867,0,49.9297,306.846,3129.3,14152.7,4.5226408461956344,15655000,719.623,3254.53,34.1171,29.7726,7.77056,0,53.3689,0,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3251.32,14290.3,4.395230244946667,99.0272,99.3996,99.1156,99.4043,99.6201,0
86,Cambridgeshire,11 kW,Daikin Altherma 3,3.84,35.4,8.9,261,Octopus Energy Services,https://octopus.energy/get-a-heat-pump,octopus.png,0,0,0,0,N/A,https://emoncms.org/app/view?name=9ChurchStreet&readkey=53fbf32311dcafcbf15209adc8e10c7f,1,Air Source,R32,Cylinder with plate heat exchanger,210,3,1,1,0,1,None,42,-3,35,0.6,Anti-freeze valves,1,"Pure weather compensation, no room influence",Daily scheduled heat up of tank,50,Daily,65,Detached,150,0,0,13397,2627,9,Pre-1900,Some insulation in walls and loft,0,Agile,On peak & Off peak,0,0,0,0,0,0,Other electricity meter,Heat pump integration,0,1,0,1,1,"Optimised for operational cost, not CoP. Mixergy tank too small so boosted from ~50 to 65C with immersion and protected by TMV to boost capacity.  Octopus installed a 11kW HP rather than 9kW as specified, kept it as useful for integration for Intelligent Octopus additional off-peak slots, or Octopus Power-up sessions. Running at delta 5C flow/return target. Data sourced from ESPAltherma M5StickC-plus on the X10 of the unit and myenergi CT clamp on the heat pump power cable. Installed September 2022. Filter/strainer cleaned out November 13 '23 and max flow jumped from 24l/m to 30l/m. Daikin Altherma 3M EDLA11DA3V3 - As of December 11 2023, reporting using the ""Leaving Water after BUH R2T"" sensor",False,3864.67,14827.2,3.8366018314629713,22561300,613.028,2365.91,29.2932,25.169700000000002,13.3833,22.8969,37.2915,216.862,3735.9,14817.8,3.9663267218073286,9315290,1443.79,5726.5,35.3898,30.9341,8.85595,22.634,45.8,3144.79,12671.8,4.029458246814572,8381150,1350.86,5443,34.8215,30.3455,8.43471,22.6012,46.273,591.112,2145.95,3.630361082163786,934140,2278.03,8270.11,40.489000000000004,36.2176,12.6331,22.9325,41.8504,3871.35,14847,3.8350962842419314,99.6229,96.0025,96.0025,96.0025,96.0025,96.0025
87, (Laubeck) East riding of Yorkshire,9 kW,Daikin Altherma 3,3.08,33.6,7.5,342,Private contractor/self install,,N/A,0,0,0,0,N/A,https://emoncms.org/app/view?name=MyHeatpump&readkey=378d8e7dfb8095b1b3d3f21ae21493e0,1,Air Source,R32,Cylinder with plate heat exchanger,210,3,1,0,0,0,None,45,-3,37,0,Anti-freeze valves,1,Weather compensation with significant room influence,Daily scheduled heat up of tank,51,Fornightly,60,Detached,150,4625,2048,0,0,0,1983 to 2011,"Cavity wall, plus some loft insulation",31,Octopus Intelligent,On peak & Off peak,26,0,0,0,9,1,SDM120 Modbus/MBUS Single Phase (class 1),Kamstrup heat meter (class 2),1,0,0,1,1,Mixergy cylinder with heat pump kit,False,3503.04,10794.7,3.0815234767516215,29527400,427.008,1315.91,26.303200000000004,25.3364,10.8009,0,39.4646,182.808,3382.37,10746.2,3.177121367561799,10325700,1179.24,3746.58,33.6292,30.7889,7.47167,0,38.3559,0,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3517.28,11268,3.2036118819087473,99.082,99.132,99.132,99.132,98.8526,0
88,"Lichfield, UK",12.5 kW,Stiebel Eltron WPL25-AS,3.78,38.0,7.6,289,Niche Energy Systems Ltd,https://nicheenergy.co.uk/,nicheenergy.png,0,0,0,0,N/A,https://emoncms.org/app/view?name=SE_Heatpump&readkey=924cd6c68b50da86629e55aeb2a63114,1,Air Source,R290,Cylinder with coil,200,0,1,1,0,1,Buffer,40,-3,40,0.62,Glycol/water mixture,3,"Pure weather compensation, no room influence",Twice daily scheduled heat up of tank,50,Weekly,60,Detached,202,25742,5679,0,0,10.9,1940 to 1982,"Fully insulated walls, floors and loft",127,Octopus Intelligent Go,On peak & Off peak,22,4500,95,0,13,0,"OpenEnergyMonitor EmonPi v1, EmonTx3 or earlier",Heat pump integration,1,0,0,0,0,,False,4775.01,18034.2,3.7767879020148647,24958200,688.753,2601.27,32.1825,30.9557,11.8038,19.6755,79.418,163.932,4489.32,17842.1,3.974343553143906,7636260,2116.42,8411.38,37.956,33.0792,7.60309,19.7472,49.493,0,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,94.7109,94.7109,94.7109,94.7109,94.7109,94.7109
90,Kidlington,5 kW,Vaillant Arotherm+,3.65,33.9,6.8,365,Custom renewables ,https://custom-renewables.com/,custom-renewables.png,1,0,0,0,N/A,https://emoncms.org/app/view?name=MyHeatpump&readkey=b2f5c5bf86de59f0cd3190406fa4e051,1,Air Source,R290,Cylinder with coil,200,0,1,1,0,0,None,45,-3,0,0,Anti-freeze valves,0,"Pure weather compensation, no room influence",Automatic top up of tank if temperature drops by 6-10C,55,Disabled,0,Semi-detached,90.2,0,0,0,0,0,1983 to 2011,Some insulation in walls and loft,0,,,0,0,0,0,0,1,"OpenEnergyMonitor EmonPi v1, EmonTx3 or earlier",Sontex heat meter (class 2),1,1,0,1,0,,False,2289.38,8353.03,3.648599184058566,31505200,261.596,954.475,29.7366,28.530199999999997,11.097,0,41.4806,81.903,2228.39,8242.26,3.698751116276774,11885100,674.983,2496.58,33.9292,31.3432,6.79661,0,44.8542,0,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2290.49,8437,3.6834913053538765,99.9035,99.9022,99.9022,99.9022,98.9269,0
95,"Banavie, Fort William",2.7 kW,Mitsubishi SRC20ZSX-W,0.00,0.0,4.0,295,KS Refrigeration,https://www.ks-refrigeration.co.uk/,ks-refrigeration.png,0,0,0,0,N/A,https://emoncms.org/app/view?name=MyHeatpump&readkey=37e4de18fdeaaadeccc412231018c10d,1,Air-to-Air,R32,Other,0,0,0,0,1,0,None,0,0,0,0,Glycol/water mixture,0,Room influence only (e.g Auto adapt),Daily scheduled heat up of tank,50,Monthly,60,Detached,105,2100,0,0,0,1.3,1940 to 1982,Passivhaus,20,Octopus Go,On peak & Off peak,18.74,0,0,0,0,1,SDM120 Modbus/MBUS Single Phase (class 1),Other heat meter,0,0,0,0,0,"Passivhaus EnerPHit of a 1975 timber frame house. Single indoor fan coil unit in dining room providing all heating for whole house. Hot water generation via hot water heat pump taking heat from house, therefore approx 2 kWh of heat provided by air to air heating is actually contributing to water heating demand rather than space heating demand. Heat monitoring and therefore COP not available since it's air to air. Monitoring of hot water heat pump happening manually and not showing here.",False,677.878,0,0,25458400,95.8565,0,0,0,9.17623,0,0,0,672.986,0,0,5189130,466.88500000000005,0,0,0,3.9826700000000006,0,0,0,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,698.975,0,0,98.5478,98.5478,0,0,98.7319,0
96,"Mayfield, East Sussex",30 kW,2x Kensa Evo 15,2.89,37.9,0.0,186,Andrew Packman Plumbing,mailto:andrewpackman@btinternet.com,N/A,0,0,0,0,N/A,https://emoncms.org/app/view?name=Sharnden&readkey=6b9c46d7653ab588480aef77d4afe957,1,Water Source,R32,Cylinder with coil,0,0,0,1,0,1,Low loss header,45,0,0,0,Glycol/water mixture,0,Room influence only (e.g Auto adapt),Not applicable,0,No cylinder,0,Detached,200,0,0,0,0,0,Pre-1900,Some insulation in walls and loft,0,,,32,0,0,0,0,1,SDM630 Modbus/MBUS Three Phase (class 1),Sontex heat meter (class 2),0,0,1,0,0,Heat collection from weir using 2x Nuenta energy blades,False,3010.65,8690.44,2.886566023948317,16034600,675.344,1949.93,37.4248,36.1702,0,0,0,525.167,2989.88,8659.4,2.896236638259729,9675500,1113.07,3221.93,37.8686,36.6775,0,0,0,0,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9224.69,10653,1.1548355554495597,92.5223,92.1207,92.1207,92.1207,0,0
97,"Llanfrothen, Gwynedd",10 kW,Grant Aerona3,3.55,35.1,7.1,298,Baxter Kelly (Eco4),https://baxterkelly.co.uk,N/A,0,0,0,0,N/A,https://emoncms.org/app/view?name=MyHeatpump&readkey=e24536fb68b132b864fa396d0de44da5,1,Air Source,R32,Cylinder with coil,210,2,1,0,0,0,None,45,-3,36,0,Anti-freeze valves,1,Manual flow temperature control,Manual control of tank temperature,45,Disabled,55,Semi-detached,92,8000,2300,7847,2319,6.6,1940 to 1982,"Cavity wall, plus some loft insulation",87,Good Energy E7,On peak & Off peak,28,3400,75,1,0,1,SDM120 Modbus/MBUS Single Phase (class 1),Sontex heat meter (class 2),0,1,0,1,0,"Installed with standard Grant Honeywell T3 TPI controls, see excessive cycling early on before changing to 25C room target and just turning controller on/off. Installer assessed DHW demand 3400 kWh, space  heating demand would be 13000 kWh based on a 1800 degree days value. More likely much less than this!",False,1696.13,6013.47,3.5454063072995585,25717600,237.588,841.078,23.4876,22.6129,10.4889,18.2777,25.357099999999996,100.986,1617.14,5845.59,3.614770520795973,4755390,1225.28,4425.32,35.0991,32.2707,7.123169999999999,17.8397,44.0452,0,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1702.71,6026.51,3.539363720187231,99.5934,99.6746,99.6747,99.6747,98.913,94.4902
99,Saffron Walden,11.2 kW,Mitsubishi Ecodan,3.23,34.7,6.4,264,,,N/A,0,0,0,0,N/A,https://hp.ashbeehouse.com/app/view?name=My+Heatpump&readkey=921d54396aa9ad66a8983409b165b664,1,Air Source,R410A,Cylinder with plate heat exchanger,300,0,0,0,0,1,Low loss header,35,-3,30,0,Central heat pump water circulation,1,Custom controller,Twice daily scheduled heat up of tank,48,Disabled,0,Detached,505,0,0,31603,2811,11.3,2012 or newer,"Fully insulated walls, floors and loft",0,Octopus Intelligent,On peak & Off peak,15,1700,0,0,0,0,Other electricity meter,Kamstrup heat meter (class 2),0,1,0,1,1,"System runs downstairs heating and DHW only. Open system controlled by Home Assistant via ESP Home relay (call for heat), heating trigger temperature higher during Octopus Intelligent cheap rate periods (typically 19.5C and 21.5C during cheap rate). Separate 11kW system running upstairs radiators. Emporia clamp three phase electricity monitor. Ecowitt weather station monitoring outside temperature. Indoor temperature average of all rooms. Now running with wireless thermostat in Auto Adapt mode (since 09/02/24).",False,3720.38,12005.5,3.2269553110166167,22770900,587.944,1897.34,28.7974,26.450900000000004,10.1604,18.5509,44.4163,322.339,3720.38,11579.4,3.1124239996989553,5815020,2303.23,7168.65,34.7481,28.390699999999995,6.377180000000001,19.7665,41.3286,2478.08,8488.48,3.4254261363636362,4467690,1996.8,6839.89,31.0723,25.0475,5.23243,20.2507,43.4629,1242.3,3090.93,2.48807051436851,1347330,3319.36,8258.8,46.9384,39.4762,10.1741,18.1621,35.3902,3742.76,12577,3.3603543908773204,99.9112,87.306,87.306,87.306,99.8616,88.4991
